,Name,Description
52,Cinnamon,"Cinnamon is a spice obtained from the inner bark of several tree species from the genus Cinnamomum. Cinnamon is used mainly as an aromatic condiment and flavouring additive in a wide variety of cuisines, sweet and savoury dishes, breakfast cereals, snack foods, teas, and traditional foods. The aroma and flavour of cinnamon derive from its essential oil and principal component, cinnamaldehyde, as well as numerous other constituents including eugenol.

Cinnamon is the name for several species of trees and the commercial spice products that some of them produce. All are members of the genus Cinnamomum in the family Lauraceae. Only a few Cinnamomum species are grown commercially for spice. Cinnamomum verum (AKA C. zeylanicum), known as ""Ceylon cinnamon"" after its origins in Sri Lanka (formerly Ceylon), is considered to be ""true cinnamon"", but most cinnamon in international commerce is derived from four other species, usually and more correctly referred to as ""cassia"": C. burmannii (Indonesian cinnamon or Padang cassia), C. cassia (Chinese cinnamon or Chinese cassia), C. loureiroi (Saigon cinnamon or Vietnamese cassia), and the less common C. citriodorum (Malabar cinnamon). In 2018, Indonesia and China produced 70% of the world's supply of cinnamon, Indonesia producing nearly 40% and China 30%."
53,Clove,"Cloves are the aromatic flower buds of a tree in the family Myrtaceae, Syzygium aromaticum. They are native to the Maluku Islands (or Moluccas) in Indonesia, and are commonly used as a spice, flavoring or fragrance in consumer products, such as toothpaste, soaps, or cosmetics. Cloves are available throughout the year owing to different harvest seasons across various countries."
54,Coriander,"Coriander (; Coriandrum sativum) is an annual herb in the family Apiaceae. It is also known as Chinese parsley, dhania, or cilantro (). All parts of the plant are edible, but the fresh leaves and the dried seeds (which are both a herb and a spice) are the parts most traditionally used in cooking.
Most people perceive coriander as having a tart, lemon/lime taste, but to nearly a quarter of those surveyed, the leaves taste like dish soap, linked to a gene that detects some specific aldehydes that can produce soapy sensation from the odorant substances."
55,Crab boil,"Crab boil is a spice mixture that is used to flavor the water in which crabs or other shellfish are boiled. A crab boil is also a social event where boiled crabs are eaten, a kind of seafood boil. Crab boils are known in the Ville Platte areas of Louisiana as ""dome lobster boils,"" stemming from the local term ""dome lobster"" based on the shape and composition of crabs and their likeness to a domed lobster. The largest of these gatherings is the Crayon d'Orange festival (French for 'Orange Pencil') in Evangeline Parish."
56,Cumin,"Cumin ( or US: , or ) (Cuminum cyminum) is a flowering plant in the family Apiaceae, native to the Irano-Turanian Region. Its seeds – each one contained within a fruit, which is dried – are used in the cuisines of many cultures in both whole and ground form. Although cumin is thought to have uses in traditional medicine, there is no high-quality evidence that it is safe or effective as a therapeutic agent."
57,Curcuma zedoaria,"Curcuma zedoaria (zedoary, white turmeric, or temu putih) is a perennial herb and member of the genus Curcuma, family Zingiberaceae. The plant is native to South Asia and Southeast Asia but is now naturalized in other places including the US state of Florida. Zedoary was one of the ancient food plants of the Austronesian peoples. They were spread during prehistoric times to the Pacific Islands and Madagascar during the Austronesian expansion (c. 5,000 BP). Its use as a spice in the West today is extremely rare, having been replaced by ginger, and to a lesser extent, yellow turmeric."
58,Cymbopetalum costaricense,Cymbopetalum costaricense is a species of plant in the family Annonaceae.  The specific epithet refers to the country of Costa Rica which is in the plant's range.  It grows as a tree.The flowers of Cymbopetalum costaricense and related species C. penduliflorum were traditionally used by indigenous peoples to flavor chocolate.
59,Cymbopetalum penduliflorum,"Cymbopetalum penduliflorum is a species of plant in family Annonaceae.  The specific epithet penduliflorum derives from the Latin pendulus (pendent or hanging) and florum (flowered).Common names include ""sacred earflower"".  In Spanish the plant is called flor de la oreja or orejuela, and in Nahuatl it is called xochinacaztli.  In the Guatemalan municipality of Todos Santos Cuchumatán it is called tzchiquin itz in the Mam language.  It is called muc' by the Qʼeqchiʼ in the area of Cobán.The plant grows as a tree or small shrub with distichous, subsessile, oblanceolate leaves.  It has solitary flowers borne on long slender peduncles coming from the internodes of the smaller branches.  Its sepals are broadly ovate or suborbicular, cuspidate, reflexed at length,  The outer petals are similar, but are much larger than the sepals. The inner petals are thick and fleshy with an involute margin that causes them to resemble a human ear.  When fresh, the pungent flowers are greenish-yellow with the inner surface of the inner petals tending towards orange, at length turning brownish-purple or maroon, breaking with a bright orange fracture.The dried flowers of C. penduliflorum and related species C. costaricense were traditionally used to give a spicy flavor to chocolate before the arrival of cinnamon and the other Old World spices.  The dried petals are still used to in atoles, pinoles, and coffee.It is native to mountainous areas of southern Mexico, Guatemala, and El Salvador.  It is still cultivated as a spice in the Guatemalan regions around Cobán and Jacaltenango and sold in markets in those areas as well as Antigua Guatemala, Santa Ana, El Salvador, and San Andrés Tuxtla, Mexico.


== References =="
60,Dalea lasiathera,"Dalea lasiathera, the purple prairieclover, is a plant from the Southwestern United States."
61,Dill,"Dill (Anethum graveolens) is an annual herb in the celery family Apiaceae. It is the only species in the genus Anethum. Dill is grown widely in Eurasia, where its leaves and seeds are used as a herb or spice for flavouring food."
62,Dipteryx odorata,"Dipteryx odorata (commonly known as ""cumaru"", ""kumaru"", or ""Brazilian teak"") is a species of flowering tree in the pea family, Fabaceae. The tree is native to Central America and northern South America and is semi-deciduous. Its seeds are known as tonka beans (sometimes tonkin beans or tonquin beans). They are black and wrinkled and have a smooth, brown interior. They have a strong fragrance similar to sweet woodruff due to their high content of coumarin.
The word tonka is taken from the Galibi (Carib) tongue spoken by natives of French Guiana; it also appears in Tupi, another language of the same region, as the name of the tree. The old genus name, Coumarouna, was formed from another Tupi name for tree, kumarú.
Many anticoagulant prescription drugs, such as warfarin, are based on 4-hydroxycoumarin, a chemical derivative of coumarin initially isolated from this bean.  Coumarin, however, does not have anticoagulant properties."
63,Ditaxis heterantha,"Ditaxis heterantha is a member of the plant family Euphorbiaceae and grows wild in Guanajuato, Mexico, where it is known as azafrán, azafrancillo, azafrán de bolita or saffron pellets and has several culinary uses, including as a substitute for saffron. Ditaxis heterantha is not related to true saffron (Crocus sativus) nor to safflower (Carthamus tinctorius), which also is used as a saffron substitute.
Ditaxis heterantha has dull, dark brown seeds 3–5 mm in diameter that resemble allspice. The waxy, deep orange endosperm of the seed is used in Mexico (particularly Guanajuato) for coloring and flavoring food, such as menudo amarillo. It has an oil content of about 40% and a protein content of about 20%, as well as containing the apocarotenoids heterathin and ditaxin.


== References =="
64,Dolomiaea costus,"Dolomiaea costus, formerly known as Saussurea costus, commonly known as costus, Indian costus, kuth, or putchuk, is a species of thistle in the genus Dolomiaea native to South Asia and China. Rishi (Hindu) mystics of Kashmir especially ate this plant. Essential oils extracted from the root have been used in traditional medicine and in perfumes since ancient times.Costus is the root of this plant. The root of the plant is the key part used for medicinal or homeopathic purposes.  The root is also called by its Latin name radix aucklandiae (root of aucklandia).It has a large number of names in other languages, including kuṣṭha in Sanskrit; kust or qust in Arabic and Persian; kut, kur, and pachak in Hindi and Bengali, kostum, gostham,  and potchuk in Tamil; upaleta and kur in Gujarati; kot or kust in Punjabi; changala in Telugu; sepuddy in Malayalam; kostha in Kannada; kuth or postkhai in Kashmiri; and kosht (קשט) in Hebrew; koto in Swahili; mu xiang in Chinese."
65,Dried lime,"Dried lime, also known as: black lime; noomi basra (Iraq); limoo amani (Iran); and loomi (Oman), is a lime that has lost its water content, usually after having spent a majority of its drying time in the sun. They are used whole, sliced, or ground, as a spice in Middle Eastern dishes. Originating in Oman – hence the Iranian name limoo amani and Iraqi name noomi basra (""lemon from Basra"") – dried limes are popular in cookery across the Middle East."
66,Drimys winteri,"Drimys winteri, the winter's bark or canelo, is a slender tree in the family Winteraceae, growing up to 20 m (66 ft) tall. It is native to the Magellanic and Valdivian temperate rain forests of Chile and Argentina, where it is a dominant tree in the coastal evergreen forests. It is found below 1,200 m (3,900 ft) between latitude 32° south and Cape Horn at latitude 56°. In its southernmost natural range it can tolerate temperatures down to −20 °C (−4 °F). The plant is renowned for its phenotypic plasticity being able to grow in different sites from ""extreme arid zones to wetlands along Chile"". The tree does also grow in places with various types and degrees of competition from other plants.The leaves are lanceolate, glossy green above, whitish below and can measure up to 20 cm (8 in). The flowers are white with a yellow center, and consist of a great number of petals and stamens. The fruit is a bluish berry.
The height–diameter relation of D. winteri varies greatly. There is for example more spread in D. winteri height–diameter relations than for Nothofagus species. Part of the spread can be explained as reflecting higher tree density that correlates with larger heights for a given diameter. Within its range D. winteri is more frost-tolerant than naturally occurring conifers and vessel-bearing angiosperms such as the Nothofagus. This challenged conventional views  that plants without vessels such as D. winteri would be biological relicts poorly adapted to cold.The canelo is the sacred tree of the Mapuche, who associated it with ""good, peace and justice""."
67,Elettaria cardamomum,"Elettaria cardamomum, commonly known as green or true cardamom, is a herbaceous, perennial plant in the ginger family, native to southern India. It is the most common of the species whose seeds are used as a spice called cardamom. It is cultivated widely in tropical regions and reportedly naturalized in Réunion, Indochina, and Costa Rica."
68,Elwendia persica,"Elwendia persica is a plant species in the family Apiaceae. It is related to cumin (Cuminum cyminum) and sometimes called black cumin, blackseed,, black caraway, and has a smoky, earthy taste. It is often confused with Nigella sativa (which is also called black cumin, blackseed, and black caraway), by which it is often substituted in cooking.
Dried E. persica fruits are used as a culinary spice in northern India, Pakistan, Bangladesh, Afghanistan, Tajikistan, and Iran.  It is practically unknown outside these areas."
69,Euphorbia serpyllifolia,"Euphorbia serpyllifolia (Euphorbia serpillifolia) is a species of euphorb known by the common names thymeleaf sandmat or thyme-leafed spurge. It is native to a large part of North America from Canada to Mexico, where it is a common member of the flora in many types of habitat. This is an annual herb growing as a prostrate mat or taking a somewhat erect form. The oblong leaves are up to about 1.5 centimeters long, sometimes hairy and finely toothed along the edges. The tiny inflorescence is a cyathium about a millimeter wide. It bears scalloped white petal-like appendages arranged around the actual flowers. At the center are several male flowers and one female flower, which develops into a lobed, oval fruit up to 2 millimeters wide. This plant had a number of traditional medicinal uses for many Native American groups."
70,Fennel,"Fennel (Foeniculum vulgare) is a flowering plant species in the carrot family. It is a hardy, perennial herb with yellow flowers and feathery leaves. It is indigenous to the shores of the Mediterranean but has become widely naturalized in many parts of the world, especially on dry soils near the sea-coast and on riverbanks.
It is a highly flavorful herb used in cooking and, along with the similar-tasting anise, is one of the primary ingredients of absinthe. Florence fennel or finocchio (UK: , US: , Italian: [fiˈnɔkkjo]) is a selection with a swollen, bulb-like stem base that is used as a vegetable."
71,Fenugreek,"Fenugreek (; Trigonella foenum-graecum) is an annual plant in the family Fabaceae, with leaves consisting of three small obovate to oblong leaflets. It is cultivated worldwide as a semiarid crop. Its seeds and leaves are common ingredients in dishes from the Indian subcontinent, and have been used as a culinary ingredient since ancient times. Its use as a food ingredient in small quantities is safe.Although sold as a dietary supplement, there is no clinical evidence that fenugreek has therapeutic properties. Commonly used in traditional medicine, fenugreek can increase the risk of serious adverse effects, including allergic reactions."
72,Fenugreek production in India,"The production of fenugreek in India is marked by its dominant position in world production and export. Within India Rajasthan accounts for its largest cropped area and production. The fenugreek plant is an annual herbaceous forage legume with aroma, which is used for food in the form of its seeds as spices, and its leaves as a vegetable. It is also used as a medicinal herb in several Ayurvedic formulations for treatment of dry skin, boils, hair loss and so forth."
73,Fresno chile,"The Fresno chile or Fresno chili pepper ( FREZ-noh) is a medium-sized cultivar of Capsicum annuum. It should not be confused with the Fresno Bell pepper. It is often confused with the jalapeño pepper but has thinner walls, often has milder heat, and takes less time to mature. It is, however, a New Mexico chile, which is genetically distinct from the jalapeño and it grows point up, rather than point down as with the jalapeño. The fruit starts out bright green changing to orange and red as fully matured. A mature Fresno pepper will be conical in shape, 50 mm (2 in) long, and about 25 mm (1 in) in diameter at the stem. The plants do well in warm to hot temperatures and dry climates with long sunny summer days and cool nights. They are very cold-sensitive and disease resistant, reaching a height of 60–75 cm (24–30 in)."
74,Galangal,Galangal () is a common name for several tropical rhizomatous spices.
75,Garam masala,"Garam masala [from Hindustani گرم مصالحہ/गरम मसाला (garm masala, ""hot spices"")] is a blend of ground spices originating from India. It is common in Indian, Pakistani, Nepalese, Bangladeshi, Sri Lankan and Caribbean cuisines. It is used alone or with other seasonings."
76,Garcinia gummi-gutta,"Garcinia gummi-gutta is a tropical species of Garcinia native to South Asia and Southeast Asia. Common names include Garcinia cambogia (a former scientific name), as well as brindle berry, and Malabar tamarind. The fruit looks like a small pumpkin and is green to pale yellow in color.Although it has received considerable media attention purporting its effects on weight loss, there are reports of liver toxicity associated with the Hydroxycut commercial preparation containing the fruit extract, with clinical evidence indicating it has no significant effect on weight loss."
77,Garcinia indica,"Garcinia indica, a plant in the mangosteen family (Clusiaceae), commonly known as kokum, is a fruit-bearing tree that has culinary, pharmaceutical, and industrial uses."
78,Garlic,"Garlic (Allium sativum) is a species of bulbous flowering plant in the genus Allium. Its close relatives include the onion, shallot, leek, chive, Welsh onion and Chinese onion. It is native to South Asia, Central Asia and northeastern Iran and has long been used as a seasoning worldwide, with a history of several thousand years of human consumption and use. It was known to ancient Egyptians and has been used as both a food flavoring and a traditional medicine. China produces 76% of the world's supply of garlic."
79,Garlic oil,"Garlic oil is the volatile oil derived from garlic. It is usually prepared using steam distillation and can also be produced via distillation using ether. It is used in cooking and as a seasoning, a nutritional supplement, and also as an insecticide."
80,Garlic powder,"Garlic powder is a spice that is derived from dehydrated garlic and used in cooking for flavour enhancement. The process of making garlic powder includes drying and dehydrating the vegetable, then powdering it through machinery or home-based appliances depending on the scale of production. Garlic powder is a common component of spice mix. It is also a common component of seasoned salt."
81,Gaultheria procumbens,"Gaultheria procumbens, also called the eastern teaberry, the checkerberry, the boxberry, or the American wintergreen, is a species of Gaultheria native to northeastern North America from Newfoundland west to southeastern Manitoba, and south to Alabama. It is a member of the Ericaceae (heath family)."
82,Ginger,"Ginger (Zingiber officinale) is a flowering plant whose rhizome, ginger root or ginger, is widely used as a spice and a folk medicine. It is a herbaceous perennial which grows annual pseudostems (false stems made of the rolled bases of leaves) about one meter tall bearing narrow leaf blades. The inflorescences bear flowers having pale yellow petals with purple edges, and arise directly from the rhizome on separate shoots.Ginger is in the family Zingiberaceae, which also includes turmeric (Curcuma longa), cardamom (Elettaria cardamomum), and galangal. Ginger originated in Maritime Southeast Asia and was likely domesticated first by the Austronesian peoples. It was transported with them throughout the Indo-Pacific during the Austronesian expansion (c. 5,000 BP), reaching as far as Hawaii. Ginger is one of the first spices to have been exported from Asia, arriving in Europe with the spice trade, and was used by ancient Greeks and Romans. The distantly related dicots in the genus Asarum are commonly called wild ginger because of their similar taste. 
Although used in traditional medicine and as a dietary supplement, there is no good evidence that consuming ginger or its extracts has any effect on human health or as a treatment for diseases. In 2019, world production of ginger was 4.1 million tonnes, led by India with 44% of the world total."
83,Grains of Selim,"Grains of Selim are the seeds of a shrubby tree, Xylopia aethiopica, found in Africa. The seeds have a musky flavor and are used as a spice in a manner similar to black pepper, and as a flavouring agent that defines café Touba, the dominant style of coffee in Senegal. It is also known as Senegal pepper, Ethiopian pepper, and (historically) Moor pepper and Negro pepper. It also has many names in native languages of Africa, the most common of which is diarr in the Wolof language (this is the name used on most packages of café Touba). It is called 'Etso' in the Ewe language of Ghana and Togo. It is sometimes referred to as African pepper or Guinea pepper, but these are ambiguous terms that may refer to Ashanti pepper and grains of paradise, among others."
84,Heracleum persicum,"Heracleum persicum, commonly known as Persian hogweed or by its native name Golpar (Persian: گلپر) is a species of hogweed, a perennial herbaceous plant in the carrot family Apiaceae. It grows wild in humid mountainous regions in Iran and some adjacent areas. Having been introduced in the 1830s, it has spread across Scandinavia. It is now very common in northern Norway, where one of its names is Tromsø palm.
The plant has also been spotted in Sweden. In Finland, it has been declared as invasive species.Persian hogweed is a polycarpic perennial, that is, a mature plant flowers and bears fruit season after season."
85,Horseradish,"Horseradish (Armoracia rusticana, syn. Cochlearia armoracia) is a perennial plant of the family Brassicaceae (which also includes mustard, wasabi, broccoli, cabbage, and radish). It is a root vegetable, cultivated and used worldwide as a spice and as a condiment. The species is probably native to southeastern Europe and western Asia."
86,Illicium verum,"Illicium verum is a medium-sized evergreen tree native to northeast Vietnam and southwest China. A spice commonly called star anise, staranise, star anise seed, star aniseed, star of anise, Chinese star anise, or badian that closely resembles anise in flavor is obtained from the star-shaped pericarps of the fruit of I. verum which are harvested just before ripening. Star anise oil is a highly fragrant oil used in cooking, perfumery, soaps, toothpastes, mouthwashes, and skin creams. Until 2012, when they switched to using a bacterial source, Roche Pharmaceuticals used up to 90% of the world's annual star anise crop to produce shikimic acid, a chemical intermediate used in the synthesis of oseltamivir (Tamiflu)."
87,Jakhya,"Jakhya (Hindi: जख्या; Urdu: زخیا) (also called dog mustard or wild mustard) is the seed of the Cleome viscosa plant used for tempering on culinary dishes. It is mostly grown and consumed in Uttarakhand and in the Terai regions of India and Nepal.The seeds are dark brown in color, and crackles on being heated in oil. It is used in the Garhwali and Kumaoni styles of cuisines.


== References =="
88,Jerk (cooking),"Jerk is a style of cooking native to Jamaica, in which meat is dry-rubbed or wet marinated with a hot spice mixture called Jamaican jerk spice.
The art of jerking (or cooking with jerk spice) originated with Amerindians in Jamaica from the Arawak and Taíno tribes who intermingled with the Maroons.The smoky taste of jerked meat is achieved using various cooking methods, including modern wood-burning ovens. The meat is normally chicken or pork, and the main ingredients of the spicy jerk marinade sauce are allspice and Scotch bonnet peppers. Jerk cooking is popular in Caribbean and West Indian diaspora communities throughout North America and Western Europe."
89,Juniper berry,"A juniper berry is the female seed cone produced by the various species of junipers.  It is not a true berry, but a cone with unusually fleshy and merged scales, which gives it a berry-like appearance. The cones from a handful of species, especially Juniperus communis, are used as a spice, particularly in European cuisine, and also give gin its distinctive flavour. Juniper berries are among the only spices derived from conifers, along with spruce buds."
90,Kaffir lime,"Citrus hystrix, called the kaffir lime or makrut lime, (US: , UK: ) is a citrus fruit native to tropical Southeast Asia.Its fruit and leaves are used in Southeast Asian cuisine and its essential oil is used in perfumery. Its rind and crushed leaves emit an intense citrus fragrance."
91,Kala namak,"Kala namak is a kiln-fired rock salt with a sulphurous, pungent smell used in the Indian subcontinent. It is also known as ""Himalayan black salt"", Sulemani namak, bire noon, bit loona, bit lobon, kala loon, sanchal, guma loon, or pada loon, and is manufactured from the salts mined in the regions surrounding the Himalayas.
The condiment is composed largely of sodium chloride, with several other components lending the salt its colour and smell. The smell is mainly due to its sulfur content. Because of the presence of Greigite (Fe3S4, Iron(II,III) sulfide) in the mineral, it forms brownish-pink to dark violet translucent crystals when whole. When ground into a powder, its colour ranges from purple to pink.
Kala namak has been praised in Ayurveda and used for its perceived medical qualities."
92,Leptotes bicolor,"Leptotes bicolor is a species of orchid native to Paraguay and southern Brazil. It is the type species of the genus Leptotes.
Its flowers and fruits are used as a substitute for vanilla in milk and ice cream.
It grows in cooler climates than vanilla, as its distribution occupies regions more distant from the equator. It contains vanillin, the main compound of the extract of the vanilla. It is grown as an ornamental plant."
93,Liquorice,"Liquorice (British English) or licorice (American English) ( LIK-ər-ish, -⁠iss; also  LIK-rish) is the common name of Glycyrrhiza glabra, a flowering plant of the bean family Fabaceae, from the root of which a sweet, aromatic flavouring can be extracted.
The liquorice plant is an herbaceous perennial legume native to Western Asia, North Africa, and Southern Europe. Botanically, it is not closely related to anise or fennel, which are sources of similar flavouring compounds. (Another such source, star anise, is even more distantly related from anise and fennel than liquorice, despite its similar common name.) Liquorice is used as a flavouring in candies and tobacco, particularly in some European and West Asian countries.
Liquorice extracts have been used in herbalism and traditional medicine. Excessive consumption of liquorice (more than 2 mg/kg/day of pure glycyrrhizinic acid, a liquorice component) may result in adverse effects, and overconsumption should be suspected clinically in patients presenting with otherwise unexplained hypokalemia and muscle weakness. In at least one case, death has been attributed to excessive liquorice consumption."
94,List of mustard brands,"Mustard is a condiment made from the mustard seeds from one of three varieties of mustard plant: Sinapis alba, white mustard (also known as yellow mustard); Brassica juncea, brown mustard; or Brassica nigra, black mustard. The whole, ground, cracked, or bruised mustard seeds are mixed with water, vinegar, or other liquids, and sometimes other flavorings and spices, to create a paste or sauce ranging in color from bright yellow to dark brown."
95,Long pepper,"Long pepper (Piper longum),  sometimes called Indian long pepper or thippali, is a flowering vine in the family Piperaceae, cultivated for its fruit, which is usually dried and used as a spice and seasoning. Long pepper has a taste similar to, but hotter than, that of its close relative Piper nigrum – from which black, green and white pepper are obtained.
The fruit of the pepper consists of many minuscule fruits – each about the size of a poppy seed – embedded in the surface of a flower spike that closely resembles a hazel tree catkin. Like Piper nigrum, the fruits contain the alkaloid piperine, which contributes to their pungency. Another species of long pepper, Piper retrofractum, is native to Java, Indonesia. The fruits of this plant are often confused with chili peppers, which belong to the genus Capsicum, originally from the Americas."
96,Mahleb,"Mahleb or Mahlepi is an aromatic spice made from the seeds of a species of cherry, Prunus mahaleb (the Mahaleb or St Lucie cherry). The cherry stones are cracked to extract the seed kernel, which is about 5 mm diameter, soft and chewy on extraction. The seed kernel is ground to a powder before use. Its flavour is similar to a combination of bitter almond and cherry, and similar also to marzipan.Mahleb is used in small quantities to sharpen sweet foods and cakes, and is used in production of tresse cheese.
It has been used for centuries in the Middle East and the surrounding areas as a flavoring for baked goods. Recipes calling for the fruit or seed of the ""ḫalub"" date back to ancient Sumer. In recent decades, it has been slowly entering mainstream cookbooks in English.In Greek cuisine, mahlep is sometimes added to different types of holiday tsoureki breads, including Christmas bread, the New Year's vasilopita and the braided Easter bread called cheoreg in Armenian and paskalya çöreği  in Turkish.In Turkey, it is used in poğaça scones and other pastries. In the Arabic Middle East, it is used in ma'amoul scones. In Egypt, powdered mahlab is made into a paste with honey, sesame seeds and nuts, eaten as a dessert or a snack with bread.
In English, mahleb is sometimes alternately spelled as mahalab, mahlep, mahaleb, etc."
97,Malagueta pepper,"Malagueta pepper (Portuguese pronunciation: [mɐlɐˈgeːtɐ]), a variety of Capsicum frutescens, is a type of chili pepper widely used in Brazil, the Caribbean, Portugal, Mozambique, Angola, and São Tomé and Príncipe. It apparently got its name from the unrelated melegueta pepper (a seed-derived spice) from West Africa, because of a similar level of piquancy (spiciness or hotness of flavor). 
It is a small, tapered chili that rates at about 5 cm (2 in) in length. It has a range of 60,000 to 100,000 Scoville units."
98,Mastic (plant resin),"Mastic (Greek: Μαστίχα) is a resin obtained from the mastic tree (Pistacia lentiscus). It is also known as tears of Chios, being traditionally produced on the island Chios, and, like other natural resins, is produced in ""tears"" or droplets.
Mastic is excreted by the resin glands of certain trees and dries into pieces of brittle, translucent resin. When chewed, the resin softens and becomes a bright white and opaque gum. The flavor is bitter at first, but after some chewing, it releases a refreshing flavor similar to pine and cedar."
99,Monodora myristica,"Monodora myristica, the calabash nutmeg, is a tropical tree of the family Annonaceae or custard apple family of flowering plants. It is native to Angola, Benin, Cameroon, the Central African Republic, the Democratic Republic of the Congo, Equatorial Guinea, Gabon, Ghana, Guinea-Bissau, Ivory Coast, Kenya, Liberia, Nigeria, the Republic of the Congo, Sierra Leone, Sudan, Tanzania, Togo and Uganda.
In former times, its seeds were widely sold as an inexpensive nutmeg substitute. This is now less common outside its region of production.
Other names of calabash nutmeg include Jamaican nutmeg, African nutmeg, ehuru, ariwo, awerewa, ehiri, airama, African orchid nutmeg,  muscadier de Calabash and lubushi."
100,Mustard (condiment),"Mustard is a condiment made from the seeds of a mustard plant (white/yellow mustard, Sinapis alba; brown mustard, Brassica juncea; or black mustard, Brassica nigra).
The whole, ground, cracked, or bruised mustard seeds are mixed with water, vinegar, lemon juice, wine, or other liquids, salt, and often other flavorings and spices, to create a paste or sauce ranging in color from bright yellow to dark brown. The seed itself has a strong, pungent, and somewhat bitter taste.  The taste of mustard condiments ranges from sweet to spicy.
Mustard is commonly paired with meats, vegetables and cheeses, especially as a condiment for sandwiches, hamburgers, and hot dogs. It is also used as an ingredient in many dressings, glazes, sauces, soups, and marinades. As a cream or as individual seeds, mustard is used as a condiment in the cuisine of India and Bangladesh, the Mediterranean, northern and southeastern Europe, Asia, the Americas, and Africa, making it one of the most popular and widely used spices and condiments in the world."
101,Mustard seed,"Mustard seeds are the small round seeds of various mustard plants. The seeds are usually about 1 to 2 millimetres (0.039 to 0.079 in) in diameter and may be colored from yellowish white to black. They are an important spice in many regional foods and may come from one of three different plants: black mustard (Brassica nigra), brown mustard (B. juncea), or white mustard (Sinapis alba).
Grinding and mixing the seeds with water, vinegar or other liquids creates the yellow condiment known as prepared mustard."
102,Myrrh,"Myrrh (; from Semitic, but see § Etymology) is a gum-resin extracted from a number of small, thorny tree species of the genus Commiphora. Myrrh resin has been used throughout history as a perfume, incense and medicine. Myrrh mixed with posca or wine was common across ancient cultures, for general pleasure, and as an analgesic."
103,Nardostachys jatamansi,"Nardostachys jatamansi is a flowering plant of the valerian family that grows in the Himalayas. It is a source of a type of intensely aromatic amber-colored essential oil, spikenard. The oil has, since ancient times, been used as a perfume, as a traditional medicine, and in religious ceremonies. It is also called spikenard, nard, nardin, or muskroot. It is considered endangered due to overharvesting for folk medicine, overgrazing, loss of habitats, and forest degradation."
104,New Mexico chile,"New Mexico chile or New Mexican chile (Scientific name: Capsicum annuum 'New Mexico Group'; Spanish: chile de Nuevo México, chile del norte) is a cultivar group of the chile pepper from the US state of New Mexico, first grown by Pueblo and Hispano communities throughout Santa Fe de Nuevo México. These landrace (a domesticated, local variety) chile plants were used to develop the modern New Mexico chile peppers by horticulturist Dr. Fabián García and his students, including Dr. Roy Nakayama, at what is now New Mexico State University in 1894. New Mexico chile, which typically grows from a green to a ripened red, is popular in the cuisines of the Southwestern United States, including Sonoran and Arizonan cuisine, and an integral staple of New Mexican cuisine. It is also sometimes featured in the broader Mexican cuisine. Chile is one of New Mexico's state vegetables, and is referenced in the New Mexico state question ""Red or Green?"".Hatch chile is a label for New Mexico chile grown in the Hatch Valley, in and around Hatch, New Mexico, which has large acreages dedicated to the crop. It is an important crop to New Mexico's economy and culture, and it is sold worldwide in places including Europe, Australia, and Japan.The flavor of New Mexico green chiles has been described as lightly pungent, similar to an onion, or like garlic with a subtly sweet, spicy, crisp, and smoky taste. The ripened red chiles retain this flavor, but add an earthiness and bite, while aging mellows the front-heat and delivers more of a back-heat. The spiciness depends on the variety of New Mexico chile pepper."
105,New Mexico No. 9,"New Mexico No. 9, also known as NuMex No. 9, Number 9 pepper or simply No. 9, was the first of the New Mexican chile pod types of chile peppers. It is an heirloom chile, grown today only in special quantities in New Mexico, United States. It was also the first New Mexico chile cultivar to be bred for commercial growth. It was released to growers in 1913 by Mexican-American horticulturist Dr. Fabián García, who began selecting local breeds in 1894 for improvement. The No. 9 helped to cement chile as a staple food of New Mexican cuisine."
106,Nigella arvensis,"Nigella arvensis, the field nigella or wild fennel flower, is a species of flowering plant in the family Ranunculaceae. It is native to North Africa, central, southern and eastern Europe, the Caucasus region, and the Middle East as far as Iran, and has gone extinct in Switzerland and Crete. It is a minor crop, used locally as a substitute for Nigella sativa, black caraway."
107,Nigella sativa,"Nigella sativa (black caraway, also known as black cumin, nigella, kalonji or siyahdaneh) is an annual flowering plant in the family Ranunculaceae, native to eastern Europe (Bulgaria and Romania) and Western Asia (Cyprus, Turkey, Iran and Iraq), but naturalized over a much wider area, including parts of Europe, northern Africa and east to Myanmar."
108,Nutmeg,"Nutmeg is the seed or ground spice of several species of the genus Myristica. Myristica fragrans (fragrant nutmeg or true nutmeg) is a dark-leaved evergreen tree cultivated for two spices derived from its fruit: nutmeg, from its seed, and mace, from the seed covering. It is also a commercial source of an essential oil and nutmeg butter. Conifers of the genus Torreya, commonly known as the nutmeg yews, have seeds of similar appearance, but are not closely related to Myristica fragrans, and are not used as a spice. Indonesia is the main producer of nutmeg and mace.
If consumed in amounts exceeding its typical use as a spice, nutmeg powder may produce allergic reactions, cause contact dermatitis, or have psychoactive effects. Although used in traditional medicine for treating various disorders, nutmeg has no scientifically confirmed medicinal value."
109,Onion powder,"Onion powder is dehydrated, ground onion that is commonly used as a seasoning. It is a common ingredient in seasoned salt and spice mixes, such as beau monde seasoning. Some varieties are prepared using toasted onion. White, yellow and red onions may be used. Onion powder is a commercially prepared food product that has several culinary uses. Onion powder can also be homemade.Onion salt is a spice preparation using dried onion and salt as primary ingredients."
